1,Ramu,25,IT,Developer,India,50000.0,2020-05-21,2022-05-29T22:00:49.048360,null
3,Rani,28,Marketing,Manager,India,90000.0,2020-08-30,2022-05-29T22:00:49.048940,null
4,Kumar,40,India,Director,India,500000.0,2020-05-21,2022-05-29T22:00:49.049097,2022-05-29T22:03:55.511308
5,Raju,30,IT,Tester,India,40000.0,2019-05-22,2022-05-29T22:00:49.049235,null
6,Lakshman,42,IT,Tester,India,60000.0,2010-05-22,2022-05-29T22:00:49.049379,null
7,Prabhas,43,Film,Actor,India,100000.0,2019-05-23,2022-05-29T22:00:49.049524,null
8,Anushka,38,Film,Actress,India,500000.0,2019-01-01,2022-05-29T22:00:49.049661,null
9,Tharak,38,IT,Developer,India,40000.0,2016-05-15,2022-05-29T22:00:49.049805,null
10,Hari,32,Bank,Manager,India,50000.0,2011-05-01,2022-05-29T22:00:49.050023,null
11,Krishna,45,Marketing,Director,India,500000.0,2005-01-21,2022-05-29T22:01:58.280847,null
